segment_count,dl_start,dl_end,rebuff_time,end_buffer,bitrate,reward
0,2.053,3.87,0,1,6,7
1,3.87,4.722,0,1.1479999999999997,5,5.995
2,4.722,5.404,0,1.4660000000000002,5,6.0
3,5.404,5.87,0,2.0,3,3.99
4,5.87,6.963,0,1.907,8,8.975
5,6.963,7.272,0,2.598,2,2.97
6,7.272,7.933,0,2.9370000000000003,4,4.99
7,7.933,9.078,0,2.7920000000000007,9,9.975
8,9.078,10.015,0,2.8549999999999995,8,8.995
9,10.015,10.405,0,3.4650000000000007,3,3.975
10,10.405,10.874,0,3.9959999999999996,4,4.995
11,10.874,11.953,0,3.9170000000000007,9,9.975
12,11.953,12.962,0,3.9080000000000004,8,8.995
13,12.962,13.756,0,4.114,7,7.995
14,13.756,14.076,0,4.794,2,2.975
15,14.076,14.491,0,5.3790000000000004,3,3.995
16,14.491,14.807,0,6.063,2,2.995
17,14.807,15.208,0,6.662,3,3.995
18,15.208,15.315,0,7.555000000000001,0,0.985
19,15.315,15.993,0,7.876999999999999,5,5.975
20,15.993,16.091,0,8.778999999999998,0,0.975
21,16.091,17.179,0,8.691,8,8.96
22,17.179,17.886,0,8.984,6,6.99
23,17.886,18.834,0,9.036,8,8.99
24,18.834,19.031,0,9.839,1,1.965
25,19.031,19.827,0,10.042999999999997,7,7.97
26,19.827,20.435,0,10.435,4,4.985
27,20.435,20.673,0,11.197000000000001,1,1.985
28,20.673,21.53,0,11.339999999999998,6,6.975
29,21.53,22.243,0,11.627,6,7.0
