episode,ave_reward
0,4.918333333333333
1,5.322833333333333
2,5.0198333333333345
3,5.753166666666668
4,5.3815
5,5.8505
6,5.115333333333335
7,4.4848333333333334
8,5.714166666666668
9,5.539833333333334
10,5.586333333333333
11,5.261833333333333
12,5.315
13,5.756166666666668
14,5.959166666666667
15,5.314833333333334
16,5.616833333333334
17,5.308166666666668
18,5.8465
19,4.750333333333333
20,5.686000000000002
21,5.250666666666666
22,5.613333333333333
23,4.684
24,5.417833333333332
25,6.248666666666669
26,5.448166666666667
27,5.983333333333335
28,5.7781666666666665
29,6.387333333333333
30,5.7565
31,5.320333333333335
32,6.147166666666665
33,4.855666666666668
34,6.384500000000002
35,5.254833333333335
36,5.852166666666667
37,6.219166666666667
38,5.246833333333333
39,5.6485
40,5.351500000000001
41,5.717166666666668
42,5.752666666666668
43,4.945833333333335
44,5.5805
45,5.1836666666666655
46,5.683500000000001
47,5.015833333333332
48,5.447833333333334
49,5.347333333333333
50,5.517833333333333
51,4.669833333333334
52,5.453666666666669
53,4.887833333333334
54,4.714666666666667
55,5.388166666666668
56,5.851000000000001
57,5.082166666666666
58,5.786666666666667
59,4.617666666666666
60,5.686666666666668
61,6.315833333333335
62,6.187500000000001
63,5.921166666666668
64,5.820500000000001
65,5.218
66,6.021166666666667
67,4.683666666666667
68,5.383333333333334
69,4.913000000000002
70,4.450333333333334
71,4.552499999999999
72,5.2155000000000005
73,4.139666666666667
74,5.445666666666667
75,5.884000000000001
76,5.747833333333334
77,6.147
78,6.137500000000001
79,5.716500000000001
80,4.480999999999999
81,5.052333333333333
82,4.434333333333332
83,5.211166666666668
84,5.819000000000003
85,4.5520000000000005
86,5.903333333333332
87,5.340000000000002
88,5.153500000000003
89,5.451333333333333
90,4.835833333333334
91,6.117666666666665
92,5.690000000000001
93,4.819500000000001
94,5.090000000000002
95,4.651833333333333
96,5.449
97,5.314833333333334
98,5.0136666666666665
99,6.364666666666667
100,6.347666666666667
101,5.033666666666667
102,5.758166666666668
103,5.383000000000001
104,5.524666666666667
105,6.180000000000001
106,6.005500000000001
107,5.815833333333333
108,5.450666666666668
109,6.281333333333333
110,4.653166666666667
111,5.380833333333333
112,5.2826666666666675
113,4.683333333333334
114,5.753666666666667
115,4.984999999999999
116,5.883000000000002
117,5.053166666666667
118,5.187833333333334
119,6.171166666666666
120,5.387333333333333
121,5.583999999999999
122,5.254499999999999
123,5.1498333333333335
124,6.0855000000000015
125,5.384833333333333
126,6.116000000000001
127,6.2826666666666675
128,5.598666666666669
129,4.751166666666666
130,4.681
131,5.6258333333333335
132,5.791666666666668
133,6.5203333333333315
134,4.955500000000002
135,5.302166666666667
136,5.116833333333333
137,5.719833333333335
138,5.6771666666666665
139,5.880166666666665
140,5.881333333333332
141,6.009833333333335
142,5.749166666666666
143,5.2521666666666675
144,4.721666666666667
145,4.850666666666668
146,4.965666666666666
147,5.614333333333333
148,5.085833333333334
149,5.984833333333335
150,5.582
151,6.463333333333334
152,5.2523333333333335
153,5.586000000000001
154,5.3875
155,6.018833333333334
156,4.749333333333333
157,5.815500000000001
158,5.525000000000002
159,5.317166666666667
160,5.653333333333335
161,5.515000000000001
162,5.084
163,4.617000000000001
164,6.356000000000001
165,5.322333333333334
166,4.620833333333334
167,5.586166666666667
168,5.447
169,6.019
170,5.514666666666668
171,5.351500000000001
172,4.7495
173,5.619666666666668
174,5.446500000000001
175,4.850500000000001
176,4.5145
177,4.684333333333333
178,5.820166666666667
179,5.050666666666667
180,5.418166666666668
181,4.585833333333334
182,5.4205000000000005
183,4.880999999999999
184,5.849500000000002
185,4.849833333333333
186,5.951166666666669
187,6.047
188,5.482833333333334
189,5.279999999999999
190,5.817666666666667
191,5.049000000000001
192,5.184833333333334
193,5.1848333333333345
194,6.050333333333333
195,6.163499999999999
196,5.316166666666666
197,5.214499999999999
198,5.554333333333335
199,4.881833333333333
200,5.443333333333336
201,5.882333333333334
202,5.6855
203,4.784000000000001
204,5.920000000000001
205,5.023500000000001
206,5.980166666666668
207,6.184500000000001
208,5.450333333333334
209,5.441833333333334
210,4.221
211,5.253833333333333
212,5.483833333333335
213,5.450333333333334
214,4.9766666666666675
215,5.683499999999999
216,5.5716666666666645
217,5.216000000000002
218,6.291833333333334
219,4.781833333333334
220,4.587
221,4.861333333333334
222,5.583333333333334
223,4.988
224,5.718333333333335
225,5.082833333333332
226,5.983666666666667
227,5.551666666666667
228,4.6308333333333325
229,5.184833333333333
230,4.853833333333333
231,5.314000000000001
232,5.147500000000002
233,5.2041666666666675
234,5.2615
235,4.617666666666666
236,4.025166666666666
237,5.9115
238,5.017500000000001
239,5.714833333333333
240,5.685333333333333
241,5.887500000000001
242,4.946666666666668
243,5.8180000000000005
244,4.9185
245,5.053166666666667
246,6.052833333333335
247,5.217333333333334
248,4.815333333333333
249,5.629833333333334
250,5.7488333333333355
251,5.616666666666668
252,4.385500000000001
253,6.817666666666664
254,6.286000000000002
255,5.951166666666668
256,5.148499999999999
257,5.384833333333334
258,4.884666666666666
259,4.449333333333334
260,5.246833333333333
261,5.486666666666668
262,4.586
263,5.284166666666666
264,5.952666666666668
265,5.640833333333332
266,5.877666666666667
267,5.582500000000001
268,5.778666666666667
269,5.953333333333335
270,4.417166666666668
271,6.284166666666668
272,5.603999999999998
273,5.417166666666666
274,5.217333333333334
275,4.154166666666667
276,4.815166666666667
277,5.770333333333335
278,5.052833333333334
279,4.748833333333334
280,5.885000000000001
281,5.8875
282,5.584166666666666
283,5.111833333333333
284,5.603333333333334
285,6.786833333333335
286,6.421333333333334
287,6.3481666666666685
288,6.334166666666669
289,4.584000000000001
290,6.051
291,5.7311666666666685
292,5.647166666666666
293,6.515500000000001
294,4.3895
295,5.138666666666667
296,5.386666666666668
297,4.751999999999999
298,4.440166666666666
299,5.316833333333333
300,5.919166666666668
301,5.95
302,5.369833333333333
303,6.088333333333333
304,6.154666666666667
305,6.0501666666666685
306,6.053999999999999
307,5.438666666666666
308,5.3163333333333345
309,5.583166666666667
310,5.482333333333334
311,5.484166666666667
312,5.3149999999999995
313,5.143333333333333
314,4.852
315,5.150999999999999
316,5.551000000000001
317,5.148999999999999
318,5.4796666666666685
319,5.381666666666665
320,5.653833333333335
321,4.836666666666668
322,5.469833333333335
323,6.185666666666666
324,5.6851666666666665
325,5.368666666666669
326,5.251500000000003
327,5.454000000000002
328,4.8226666666666675
329,5.786
330,5.3163333333333345
331,6.031333333333334
332,5.417500000000001
333,5.088166666666666
334,4.953666666666667
335,5.283500000000001
336,5.313833333333334
337,5.419666666666669
338,6.573166666666667
339,5.514333333333334
340,5.419000000000001
341,6.147666666666668
